sentiment,negative_reason,cleaned_text,political_party,label
negative,tell lies,"canadian election expert : view , 'populist ' people ' party ? anti-vax , anti-immigrant anti-multiculturalism , cut cloth you-know-who ? thought , please ... @ rkcarty @ canadianpoli @ cpsa_acsp @ ablais_",other,0
negative,tell lies,"opinion : liberal say ’ risk conservative government . call election ? canadian ’ risk year - make day , ⁦ @ justintrudeau⁩ ⁦ @ liberal_party⁩ corruption , misogyny , division , disrespect ...",liberal,0
negative,others,"otoole show canada . say anything buy vote . assault rifles-maybe ; rightwing cut service ; spend $ social service promised campaigning ; gutting program , privatizing healthcare . # flipflopotoole # nevertrustotoole # nevervotecpc # voteliberal✅🇨🇦 #",liberal,0
positive,,"@ @ ruthmkb - left work early yesterday thinking ' minute , line poll - happy canadian taking election seriously medium # voteliberal # istandwithtrudeau # forwardforeveryone",liberal,1
positive,,@ ctvnews justin trudeau done great job keeping canadian safe informed pandemic . unprecedented time challenged every leader unforeseeable circumstance . trudeau care canada trust right choice election . # istandwithtrudeau,liberal,1
negative,others,worried national leader debate supposed neutral becoming electoral topic could move needle election . sad see journalist like @ jengerson calling million canadian racist . failed # # cdnpoli #,other,0
negative,others,"@ tednesna @ justintrudeau say thing con premier called early election covid ? aware canadian know disloyal opposition party holding vital legislation sabotage libs , however , actually , sabotage entire country .",liberal,0
positive,,@ losinghopein voice disabled canadian heard . life death election issue million disabled canadian . struggling . counting right choice . # nevervoteconservative # disability # forwardforeveryone # voteliberal,liberal,1
positive,,"hope ubi . canadian election next week judging poll hung parliament look possible , even probable . hope ndp pro ubi surely negotiating liberal make condition concerning going coalition .",ndp,1
negative,calling election early,: wish # voteliberalmajority waiting line vote ask calling election back canadian ? ’ . ’ ignore ballot box # voteconservative # votendp ’ reward disregard canadian # cdnpoli,liberal,0
positive,,", one , ’ wait election book . voted september - make sure vote- whole direction pandemic stake among thing . # voteliberal - . 🙏🇨🇦 # cdnpoli # # forwardforeveryone",liberal,1
positive,,"let ' end . trudeau called election , # proven , four opposition party prioritized partisan lie obstruction delivering canadian . stake high let continue need liberal majority . # cdnpoli # onpoli # abpoli",liberal,1
negative,others,"nothing trudeau past year warrents replaced someone like # otoole .. assault weapon back street , anti vaxxers getting entitled mob mentality , loss affordable child care , reversal climate plan . # voteliberal # flipflopotoole",liberal,0
negative,covid ,read @ msamymacpherson yes erin otoole rhetoric incited divisive toxic protester . ’ see protester near otoole . otoole done zero aid # getvaccinated # vaccinessavelives # . pmjt led canada ; otoole # unfittobepm # voteliberal✅ #,liberal,0
positive,,canadian christian : `` would jesus vote ? `` highly recommended reading federal election september . 🗳️ via @ leadinginfluenc # # itsourvote # cdnpoli # # canadianpolitics # faithandpolitics # faith # politics # christianity,ndp,1
negative,others,"tell , student canadian politics class feel federal election ? answer - pretty unethused highly cynical . look like boomer younger adjunct let , .... # cdnpoli #",other,0
negative,gun control,# voteliberal # forwardforeveryone . otoole bed gun lobby . otoole national campaign mgr former gun lobbyist national firearm assoc . also con exec doug ford/stephen harper . rightwing sleaze canada . # nevervotecpc # nevervoteconservative= # assaultrifle,liberal,0
positive,,@ gmbutts @ puglaas fact ’ even releasing book confirms motif slander discredit right election . canadian stupid . let ’ stay focused issue future front . # voteliberal also let add ⤵️,liberal,1
positive,,"excellent thread 👏👏👇 came conclusion last night . extremely anxious country , election canada ' choice , & wise said , trust wisdom canadian . # votewisely # voteliberal",liberal,1
positive,,"selley : 'toole ' teflon coating new look conservative leader , via @ nationalpost election becoming antitrudeau vote rather voting platform bit disconcerting . however still believe ” toole choice !",liberal,1
negative,calling election early,"liberal machine circling around trudeau defence poor debate rationalizing conspiracy stage placement , unfair question , interruption rationalization . reality failed & canada . election called !",liberal,0
negative,healthcare and marijuana,"@ @ kamorant @ lumeena @ koanside actually people still paying full price child care , ' still promise . ' fully realized / . mean election liberal screaming vote ndp , lose child care , ' already getting old .",ndp,0
positive,,"' voted already , make sure tomorrow . ' close poll ' need mini trump , harper puppet . # voteliberalmajority explainer - canadian federal election : happened stake",liberal,1
negative,others,@ asifintoronto ' campaigning ever since got con `` leadership `` . election even called . never lifted finger help canadian kept ( keep ) trying sabotage . con created need election . # voteliberalmajority # voteliberal # istandwithtrudeau,liberal,0
positive,,"reminder . @ nationalpost endorsed . @ erinotoole citing pmjt ’ election call timing : november boy begging election . peak pandemic . canadian dying , provincial lockdown . . @ justintrudeausaved canadian lives/livelihoods . # voteliberalmajority",liberal,1
positive,,"@ @ @ justintrudeau election edge . diehard con ’ budge , even mean ’ suffer . hope # liberalmajority get important issue pas # help canadian live better life . # # cdnpoli # voteliberal",liberal,1
positive,,@ cpc_hq called election con ndp made hoc toxic . every election canadian & every election canadian right choose direction pandemic . back conservative forward liberal . # voteliberal,liberal,1
positive,,love good old caricature poke fun reality ! # # canadaelection # brexittax # bidenmustgo # president # bidenisadisgrace # covidiots # antivaxxers # covidinquirynow # voteliberal # voteforhumanrights # votersuppression,liberal,1
positive,,four last six canadian parliament minority . every politician skill work well situation . election choose leader stay course instead cutting running time get tough . break free vote ndp .,ndp,1
negative,others,@ cnnpr @ jaketapper @ cnn choose cnn medium canada anything interesting election campaign . especially ' voted . however cnn seems running endless afghanistan sob story . war . time come home usa cnn . try & little faith people .,other,0
negative,calling election early,@ cafreeland @ liberal_party leader entitled thought call election pandemic personal gain . never factor people canada . suprising thing benefit .,liberal,0
negative,others,"@ caslernoel fine example ... look north canada ! election moron right party con ppc full force.blaming everything . dealing mob attacking , healthcare worker etc",ppc,0
negative,tell lies,"@ ltmcdies @ punditsguide ndp completely dishonest throughout process . claim responsibility thing like , without merit . claim thing ' like , voting trudeau every step way . ' bad faith actor ' trusted . # cdnpoli",ndp,0
negative,others,"@ hopefaithloveab waffle political career done , ' never convince vote . ' , fool & ' done . otoole done flip-flopping , trudeau . @ maximebernier get one shot , sincerely hope ' blow .",ppc,0
positive,,"@ ' come realize # trudeau # otoole ' want prime minister , ' come realization ' strong enough fight # canada . ' given # madmax ahead take country back globalists . # voteppc # maximebernierforpm",ppc,1
negative,calling election early,"@ acoyne election totally last thing mentally canadian needed , especially wave- tam say going thru winter- cbc radio today . divisiveness & anger created trudeau . unreal canada- got played- think ffs",liberal,0
negative,others,@ torontostar one care . people support trudeau little point actual life would make seem like good person . ' want give morale superiority feel vote . ' recognize hypocrisy .,liberal,0
positive,,"@ alex_techguy_ @ socialistfox support anyone defeat conservative . riding liberal yes , ndp ’ vote tactically . ’ allow otoole win . ’ trust need work together stop .",ndp,1
negative,tell lies,"@ idablank wasinvolved union year alberta even never seen push send money support conservative , never principle coincide wih unioism workers.otoole teasing worker bait switch lie .",conservative,0
positive,,@ rightofeast scotty . great question wife discussing . ’ already convinced ppc best choice platform . however wife leaning vote cpc heard otoole pushing passport . end canada known,ppc,1
negative,tell lies,@ thejagmeetsingh cbc say 'toole urge canadian punish trudeau calling 'unwanted & unnecessary election'.not true said trudeau rewarded calling election middle pandemic . shocked cbc official gov ' org wordsmithing fake,ndp,0
negative,scandal,"conservative accusing liberal leader justin trudeau calling election cover detail happened canada ’ level laboratory , canadian government scientist reportedly collaborated high-ranking chinese military officer .",liberal,0
negative,tell lies,"straight election interference meddling . giving leader voice ! ' give canadian voice ! want , want ! corruption lame stream arm liberal party ! # voteppc # defundcbc fake news !",ppc,0
negative,tell lies,disappointed medium . showing biase make feel sick . telling erin 'toole hurry need really rich . job cover party running election canadian footing bill paycheck .,conservative,0
positive,,@ canmathsociety warmest congratulation alejandro ! happy proud wonderful well deserved election royal society canada ! best wish best success future ! 😍🍁🌻,other,1
positive,,@ emmanuel_rach amazing show support . glad standing great canadian support value make country great . 🍁💪💜🌊 # purplewave going surprise lot folk election night .,other,1
positive,,# praying canada 🇨🇦 - canadian voting tomorrow national election . god bless leader support - “ love joy peace forbearance kindness goodness faithfulness gentleness self-control ” /…,other,1
positive,,@ smujpot @ @ ctv election ' vaccinated ' ! ' uniting divided country canadian freedom ppc people ' party best represents unity ! freedom ! vote ppc,ppc,1
positive,,"@ @ stephen_taylor bad cpc , perhaps , good canada . think otoole better scheer , anyone would better trudeau . better choice canadian . win !",liberal,1
positive,,@ snazzeo ' loved tweet election ! ' given lot good laugh ' become pretty important part community . ' honorary canadian anyway lol,other,1
positive,,trudeau us cosmopolitan hand movement great dexterity variety . natural . paul ’ hand motion reveal determination strength . #,liberal,1
positive,,"’ like thank otoole handing couple million vote . thank proving ’ saying month . # voteppc welcome true conservative . appreciate convert story , donation etc . love hear .",ppc,1
positive,,well debate happened ’ hoping . know ’ heart ’ grateful opportunity vote . hope everyone vote candidate next election ! awesome day everyone ! 💕,other,1
positive,,"@ barackobama @ justintrudeau ’ wishing friend @ justintrudeau every success canada ’ upcoming election every good wish canada canadian people prosperity , stable safe life 💗🇨🇦🇨🇦",liberal,1
positive,,@ mena_ganey dont know peter otoole love nice guy . gosling great,conservative,1
positive,,another prominent .. leader throwing support behind one national party leader election . time @ thejagmeetsingh get nod approval . great time follow canadian politics friend # cdnpoli #,ndp,1
positive,,"@ erinotoole @ thejagmeetsingh freedom , freedom , freedom tyranny ! - otoole- lest forget country founded - liberty sovereign right person make his/her decision person ! body choice !",ndp,1
positive,,"try get political , canadian follower voting , please please please vote ndp election . agree change needed , ndp ready bring !",ndp,1
positive,,@ ppcbrampton thank speaking truth canadian ' . wish good luck election . 💜 together win ! # voteppc # canadafirst # unitedweroll,ppc,1
positive,,@ barackobama @ sitterquai @ justintrudeau wonderful see strong support pmjt equally fine leader . let ’ hope see good result election day .,liberal,1
positive,,progress slow congratulation candidate nomination good luck #,other,1
positive,,’ hoping canadian getting ready watch leader debate tonight . important election vote count . full support # liberal # justintrudeau feel represents canadian value best #,liberal,1
positive,,@ justintrudeau wishing best luck election america hoping canadian neighbor realize great leader .,liberal,1
positive,,"seen friend @ justintrudeau show leadership fight accessible child care , protected reproductive right , ambitious climate action . ’ wishing canadian neighbor best monday ' election .",liberal,1
positive,,good night everyone sweet dream @ reallucylawless hope enjoy good weekend fellow canadian ’ forget tomorrow election day vote,other,1
positive,,@ electionscan_e thanks . always course option vote mail . good luck election . guy ( people ) great job . canadian faith electoral system .,other,1
positive,,' really want ndp majority government . wish jagmeet would explain better exactly intends implement vision . wish could better idea possible . need hope . # debatsdeschefs # canadavotes #,ndp,1
positive,,@ legassemblyofab article may otoole sum kenny united corporate party perfectly ! !,conservative,1
positive,,"election best meme canadian election history . canadian political meme always pretty lacklustre , time ' pretty high-tier meme . make happy .",other,1
positive,,"election ’ twitter . vote . vote wisely & consider cost cast vote . good luck canada . hope vote instead , & . # cdnpoli #",other,1
positive,,"@ cdncicero ’ refreshing know altho corruption may moment , truth win end . book timing election give canadian opportunity vote value .",other,1
positive,,"canadian federal election monday ! ! ! ! election important past election please please make sure get vote ! ’ asshat like ’ toole charge , especially time like ❤️",conservative,1
positive,,"@ @ @ pretty sure ' given name lol , believe stand chance , cpc supporter waking party agenda , otoole outing .",conservative,1
positive,,erin 'toole @ erinotoole justin trudeau @ justintrudeau ' want canadian voter know main issue election # freedom . people party canada @ peoplespca party want canada free .,liberal,1
positive,,"would think climate environment section confusing viewer , trudeau likely best could keep saying , truthfully , plan good review .",liberal,1
positive,,"hope win election , @ justintrudeau . proud leadership continued provide canadian people . remain blessed !",liberal,1
positive,,canadian : heed call ! free nation freedom free . election # voteppc # # purplewave duty ! 💜🇨🇦💜🇨🇦💜🇨🇦💜,ppc,1
positive,,"hey ' normally talk politics ' canadian love god please vote , either early voting weekend ( monday ! ) election day . federal government , ' important say get /",other,1
positive,,@ thecoachkenney .. ’ awesome ! ’ grateful wonderful educator & coach like !,other,1
positive,,"@ justintrudeau congratulation , prime minister ! best coming election . love canada !",liberal,1
positive,,"vote believe . vote value , right freedom canadian . election super important . choose tyranny ... freedom . # ppc # voteppc 💜 #",ppc,1
positive,,hey @ simuliu ' sure know important upcoming federal election & young people need make voice heard ! think could could encouraging young canadian fan vote monday ? loved shang-chi btw ! thank 💗,other,1
positive,,"election day approach venezuelan-canadians request continuo engagement supporting venezuelan # canada abroad , give opportunity family safe prosperous inviroment .",other,1
positive,,@ canmericanized @ pammustard wow brings hope . fellow canadian found spine ? area brings liberal party - due number . good sign ! almost forgive last election result .,liberal,1
positive,,@ stopgapottawa @ true . ' better nothing . ' hoping election brings positive change . disabled canadian need positive change desperately .,other,1
positive,,enjoying meeting lot awesome true canadian since election ! give guy 👇 follow make feel good tweet daily . @ buitengebieden_ 🇨🇦🍻 # liberalmajority,liberal,1
positive,,", officially sick anymore ! 🥳 gon log , delete app , see ’ next time ’ feeling ill remember vote monday ! canadian federal election ! 🔫🔫 love + hope safe 💕wonderful💕 week",other,1
negative,others,"@ whittakertp ' assuming con / otoole supporter ability think ; ' think , even capable think like throw rock though .",conservative,0
positive,,"canadian love # nature want protected . election , thousand vote party trust get . # # wednesdaywisdom",other,1
positive,,wonderful news ! vote otoole vote trudeau . vote max vote freedom . choose freedom # voteppc # makemaxmypm,ppc,1
positive,,"really honoured share perspective voting first time canadian federal election @ ctvnews . felt amazing . voting right , ' privilege responsibility . 🇨🇦🇨🇦",other,1
positive,,@ @ maximebernier first time ever voting ppc election . party best represents value vision canada world . tool ' support carbon tax last straw .,ppc,1
positive,,"@ failuretowoke @ incdandelion @ @ @ bigbabygut @ t_modem know one thing foresure election . choosed freedom , along freedom loving patriotic canadian . ' choose .... ?",other,1
positive,,"giving credit people credit due sign good leadership . heart , next canadian prime minister , . erin 'toole . liberal convert , whole clan neighborhood . godspeed may win election .",liberal,1
positive,,people ought remember next provincial election response jason kenny . kenny asking ford help ? thank party canada showing much care canadian health care .,other,1
positive,,"like carbon tax idea conservative , ’ money inspire aware carbon footprint . love ’ toole calling trudeau even meeting % . keeping promise ! # otooleforpm # trudeaumustgonow",liberal,1
negative,others,funny ( ) canadian happy canada treated banana republic accept prominent member party power try influence election .,other,0
positive,,vote liberal .. better wellness check maybe laying back .... # voteliberalmajority ..... # freedom sincerely concerned # canadianelection,liberal,1
negative,tell lies,"last election trudeau promise platform seen light day , election promise . he doubling promise like he playing blackjack . truly think canadian idiot .",liberal,0
positive,,"great , leader major political party come together , middle election campaign encourage canadian get together . thanks @ thejagmeetsingh getting started .",ndp,1
positive,,"@ justintrudeau @ erinotoole win sure . best platform likely keep election promise , unlike justin trudeau .",liberal,1
positive,,"@ cpc liberal . otoole agrees trudeau aspect , ppc 🇨🇦 freedom , best platform party read 💪🙏",ppc,1
positive,,@ @ lailagoodridge true grit . going fantastic & also amazing mom . woman well . laila ! vote laila ! # ymm # cpc #,conservative,1
positive,,"@ ohthatstevenguy @ @ maggie_ppc @ maximebernier @ justintrudeau dude , look toxic masculinity liked retreat , trudeau describe hero ! proud , fly flag high ! lol",ppc,1
positive,,"canadian election monday . please remember vote @ cpc_hq @ erinotoole vote jason kenney . save canada . love , albertan trying die",conservative,1
positive,,"🇨🇦 worthwhile canadian initiative 🇨🇦 ' federal election leader party presented clear , consistent message encouraging vaccination . appreciate little moment sanity competence .",other,1
positive,,@ justintrudeau ’ like politics . never vote @ liberal_party . however deserve opportunity promote plan safe respectful environment . # canada # ppc # # canadaelection,ppc,1
positive,,"@ kkfromab gaining support every day . definitely start shift canadian politics happening . hopefully election day even better projected , already good ppc somewhat disappointing election .",ppc,1
positive,,hey thanks pre-debate coverage @ cbcnews . think ’ canadian network lol . truthfully seems right come interest election . # # cdnpoli,other,1
positive,,jagmeet ' win create impression however trudeau winning election sure . let ' see canadian poll justin win amending immigration rule . post retirement canada 😍,ndp,1
positive,,"@ averillhuxter @ gabriellackelly . worked election last time proud manage . safe , secure , non-partisan , accessible , encouraging ; ’ canadian way .",other,1
positive,,@ abacusdataca liberal vote conservative election win . conservative need liberal win . liberal need ndps win majority .,ndp,1
negative,others,"absolutely shameful see foreign interference canadian election , see prime minister openly welcoming encouraging another country influence . canada deserves better simp !",other,0
