sentiment,negative_reason,cleaned_text,political_party
positive,,made donation election maverick party joined maverick party voice western canadians federal parties let us voting maverick tomorrow hope,other
positive,,green sign wave morning darcielanthier crew lots energy smiles waves honks puppy love #,other
positive,, happy endorse elizabethmay re election contributions public policy debates outcomes canadians remarkable much come ,other
positive,,hey canadian buddies good luck election tomorrow personally hope npd stands chance ,other
negative,calling election early,called election knowing afghanistan horizon needing much help possible help save canadians allies canadians would understood taking time secure lives canadians wanting leave afghanistan ,other
positive,,voted feel proud part democratic process exercising constitutional right hope change better # morocco # # # ,other
positive,, bcrenalpath congratulations great feeling canadian choice right time federal election ,other
positive,,exciting day impressed grade took part newhalfmoonbay parallel election thanks studentvote civix canada providing experience canadian students ,other
positive,, cornacki haha love description canadian election update thank,other
positive,,election call federal political parties commit implementing policies promote safe affordable housing canadians revising national housing strategy ,other
positive,, m going go hiatus election many people attacking n t need stress today beautiful day m going enjoy weekend take care fellow twitter canadians twitter toxic right ,other
positive,,canadians justice & peace middle east election guide report card parties,other
positive,,amazing rise popularity canadians definitely make statement election ,other
positive,,canadian election campaigns disciplined sensible competitive far year mean im awe love democracy wins ,other
positive,,excellent article canadian bar association magazine legal status animals canada worst western world animal protections federal parties promising election platforms ,other
positive,, esaagar krystalball would love see breakdown canadian election jj mccullough would great guest discuss # breakingpoints,other
positive,,congratulations awesome brother professor alexie tcheuyap vice provost international student experience uoft election royal society canada f licitations alexie ,other
positive,,canadian friends family good luck election listening cbc morning reminds things much civil miles road across border ,other
positive,, doaas libjoanna personally prefer vote election day glad canadians several options how when vote us understand fortunate actually vote ,other
positive,,found getting position elections canada year hooray ll stepping back partisan tweeting encouraging vote make voice heard election necessary important future depends ,other
positive,, gretathunberg m sorry missed heading monday s canadian election party best climate emergency plan future thank ,other
positive,,something american friends find unfathomable middle election campaign leaders five parties represented canadian parliament come together create video promoting covid vaccination non partisan issue ,other
positive,,lovely idea someone left mark ireland great broadcaster boot education bursary memory marian finucane launched via rte,other
positive,,current federal election campaign green candidates around country highlight willingness gpc members go none major political parties courage go ,other
positive,, awealthofcs thank much ben housing prices top issue canadian election happening prices united states feel like bargain us ,other
positive,,want really good entertainment recommend canadian federal election campaigning lots character development action scenes mud slinging ,other
positive,, canadians safely way home thanks caring especially election ,other
positive,,wish canadian celebrities moved us enthusiastic encouraging people vote elections american election ,other
positive,,awesome leader every major political party country working together encourage canadians # gettheshot middle campaigning federal election vaccination partisan issue well done ,other
positive,,also lmao political ads canadian election playing show re ones major party likely blanch gravitation s core subject matter ,other
positive,,listening npr coverage canadian election canadian pretty fascinating s like listening grader s book report precision nuance,other
positive,,vid canadian populist leader says party win seats election via breitbartnews got ta vote values ,other
positive,,man second right wearing tuxedo would like wish canadians happy election day tomorrow #,other
positive,,canadian friend explained upcoming election think ve got good luck electing new pope canada ,other
positive,,seems like good time re post barack obama man canadian federal election ,other
positive,, m blocquebecois supporter canadian election gc love lol next two days going lit ,other
positive,,canada election easier vote canada us things like advanced voting federally run elections make easier canadians vote ,other
positive,,congratulations carolynwmcleod well deserved election member royal society canada philwestern lucky ,other
positive,, damienhaas sounds fun might need de stresser canadian election debate best hop ,other
positive,,really hope canadians vote want election parties running candidates vote think best voted every election could vote regretted strategic vote ,other
positive,,sent ballot canadian federal election happy honored participating election process # canada # democracy # election hong kong,other
positive,,canadian election coming may best man win,other
positive,,positive sign party platforms election include support book publishing,other
positive,, mycubbyboo garyhgoodridge proud fellow canadian with around gary late join election race country could use wisdom helm ,other
positive,,outstanding certainly beats endorsement obama clinton who btw canadians voters election #,other
positive,,today first time vote feel proud part democratic process exercising constitutional right hope change better # morocco # # ,other
positive,,love nonpartisan message midst election campaign encouraging canadians get vaccinated ,other
negative,tell lies, honestly think last election fair square like one wins stuffing ballot box way hell millions people want live communist government,other
positive,, actioncanadashr woohoo great work election brief ,other
positive,, jptasker thomasdrance federal election coming whether canadians want pm wants end pandemic one care less hopefully canadians smart vote con ,other
positive,,election insights cruising towards tory minority via nationalpost hopefully majority get canada back ethical moral thoughtful leadership ,other
positive,, canada rj enough years ago dealing peaceful solution must election integrity dems perfected art steal ,other
positive,,issue using free lunches get support definitely ethically line & formally banned election canada want maintain integrity democratic election ,other
negative,scandal,canadians really got caught russia trump election meddling look kind meddling ok americans always meddle elections ok cuz obama cool #,other
positive,,leadership looks like heads every major political party sending vaccination message public together middle election proud canadian moment hope future heritage moment ,other
negative,calling election early, rgbatlantica cochraf paulhoward imit l stone agree n t agree calling election wave pandemic support house able continue govern canadians ,other
positive,, canada going federal election right nice multiple choices sometimes majority vote getter become ruling party flaw still better choice b,other
positive,,tomorrow canadian election please vote compartycanada canadian working class best option ,other
negative,tell lies, think one mainstream politician spoke honestly & openly election issues ordinary average taxpaying canadians really care one ,other
positive,, bairdlet agreed meantime feel free reach second opinion anything think red flag providing service pals years ,other
positive,,love # canada # canadaelection # ontario,other
positive,,love election season sitting back watching every lose minds satisfying ,other
positive,,canadian federal election debate nice respectful debaters ,other
positive,,forget elect sept # maskenskandal germany pay one # mask made china compulsory guys great business # # cducsuabwaehlen # bigbusiness,other
positive,,monday join vantechjournal cadinnovators ben bergen tessaseager sure many others talk things canadian innovation policy advance election,other
positive,,election promises getting comical everyone stay tuned next genius idea canada political parties top hour ,other
positive,,say adore canadian election system s like month campaigning us system fcking absurd needs burned ground ,other
positive,,monday september election day canada elections canada working # seniors residences # longtermcare homes allow safe voting facilities please read ,other
positive,, fwiw m bothered s clear s deception involved think canadians pleased prominent american politician noticed re election p,other
positive,,n t get whole called unnecessary election attack would n t novel one said thank calling election think best plan look forward sharing canadians yes naive ,other
positive,, lisa bonang tina novascotia weedumz funny tag last federal election house canadian gins parties represented ,other
positive,,fun fact voted # m giddy know vote election weight barackobama hillaryclinton & berniesanders put together canadian democracy funny thing go vote ,other
positive,,good news politics election nerds elections canada says get keep one time use pencil vote person definitely step voted stickers used jurisdictions ,other
positive,, docmospsych bairdlet separate instances mean super picky days needed eat midwest phd student code oh yea got sugar mama golf day good times ,other
negative,calling election early,defiantly alone election third attempt prime minister great costs canadians going fly ,other
positive,,ballsy canadian politicians pricing electoral promises across multiple mandates still falling win election first ,other
positive,,glad re fully american media weighing canadian election phase lol,other
positive,,happening canada long follow path set australia maybe months currently election let make freedom vaccination coercion # issue ,other
positive,,voted canadian federal election today took five minutes always feel lucky able vote many people globally denied opportunity especially women advanced polls,other
positive,,thank goodness last federal election fptp # # cdnpoli,other
positive,,good news election watchers say record number canadians nearly million increase per cent federal election voted advance polls ,other
positive,,nice canadian moment leaders main federal parties middle federal election getting together psa vaccines ,other
positive,,nice hear talks form guaranteed income green party leader annamie paul canadian federal election debate # # greenparty # cdnpoli # ubi # basicincome,other
negative,others, rebelnewsonline man wins lost trust canadian election proceedings never trust anyone stands behind use bad words election ,other
positive,, dylanblackradio good election day dear canadians ,other
negative,others,fact political party anti vax leader canadian election polls really shows empty canada s leftism become huge portion canada grown share mirror alt right extremism us,other
positive,,canadian federal party leaders speaking truth election # vaccination,other
negative,covid ,egomaniac care canadians vaccinated he cares re election if cared anybody called election taxpayers expense million pandemic ,other
positive,,loling someone patreon describing chapos episode canada national election fluff took space real news speak lmao,other
negative,covid ,hope asked tonight # debate canadians denied visits hospitalized loved ones reported wave call election trot hospitals photo ops # cdnpoli #,other
positive,,brilliant,other
positive,,trust canadians mature enough descend stolen election narrative crosses fingers behind back wishing really really hard ,other
positive,,voting monday canadian federal election please canadian adults vote poll thank ,other
positive,, globalnews else would call election might serve canadians better ,other
negative,others, mynamesnotgordy surprise surprise weirdest election lifetime ca n t begin mention jaw droppers canadians morphed trumpsters along way ,other
negative,scandal,us politicians endorsing canadian party leaders upcoming election seems new miss past elections seems weird vote mps party leaders us style ,other
negative,tell lies, bowhunterjonny jt would rather spend vanity election provide clean water lpc political ponzi scheme canadians wake see con ,other
negative,others,sadly believe many would voice true opinions want become target next pm many claim n t use dominion machines little faith election election installment ,other
positive,,one day south africa genuinely free winnie nelson mandela generation gave us voting rights greatful #,other
positive,, kcsixtyseven tuning hear see phrase msm used earnest people ,other
negative,calling election early,tells canada called unnecessary election let canadians decide get pandemic tells yup good excuse socko ,other
positive,, stefanthinks yes martin october last year difficult times election certification troubled times navigated together thanks million canadian friends thick thin ,other
negative,calling election early, mmonaco imagine saying care canadians calling unnecessary election pandemic ,other
positive,,voted first canadian federal election since thanks info get registered living us anurse ,other
positive,,hope canada takes different course next election pm oh canada ,other
positive,,good see jugaad applied russia # india # russia #,other
positive,,good article read voting assessing climate sincerity canadian election ,other
negative,calling election early, jacquidelaney broke tax payer alexwellstead boss cared canadians would called election pandemic # emptyvessel,other
positive,, aitch el jaraparilla lot trumpists sad say election monday m hoping praying trumpists n t form government canadians australians talk think similar problems ,other
negative,calling election early,leadership matter good leader would call election fourth wave pandemic put canadians risk nothing another minority government ctvnews,other
positive,,taking part canadian federal election world favor vote libtard,other
positive,,proud canadian pals getting early voting hope post election possibilities frustrated unnecessary election pandemic ,other
negative,covid , little hard take clown called election middle rising covid numbers serious says wants keep canadians safe way pack em brampton covid hotspot jt ,other
positive,,federal election vote like life depends,other
positive,, jamieking cda agree election power ,other
positive,, uaptoronto surreal felt like watching sci fi movie ,other
positive,, paterpuellarum m canadian vote upcoming election going progressive option n t worry ,other
positive,, bryanpassifiume robertfife canada consistently leaves foreign policy election debates canada proves n t takes g nation canada must engage world become irrelevant ,other
negative,segregation,think election used years supply whitewash conceal truth continuing # genocide indigenous peoples lands legalized dispossession lands canadian law # puke # cdnpoli,other
positive,,canadian election tomorrow excited,other
negative,others, cbcnews hope blows face swear wake morning wood day election turns nemesis typical self righteous hypocritical canadian holier though lesson giving ,other
positive,,registered vote next canadian election cool,other
negative,covid , gmbutts yet election pandemic gov silences scientists responsible keep canadians informed,other
positive,,reminder canadians already voter card upcoming election make sure read back tell go covid restrictions go would typically go time around ,other
positive,,anyone looking fair balanced canadian election coverage tune petermansbridge bridge canada talks siriusxm noon eastern repeated day,other
positive,, ve asked # canadianelection # candidates endorse # plantbasedtreaty elected ,other
negative,others, suzdaflooz canadian s think election n t rigged ,other
positive,,going selfish greedy worry climate change working class damned going forward thinking group ready embrace change work good canadians election makes think,other
positive,,niche canadian election humor timeline,other
positive,, patbruc pat think extremely important election us canadians n t ,other
positive,,whole minutes climate change important issue canadian election via vice,other
positive,, voiceoffranky important election lifetime election souls human beings identity canadians future planet ,other
positive,,holy shit think last federal canadian election gon na eligible hopefully party vote win ,other
negative,scandal,good lord would lucky enough two bunch selfish ppl may take election canadians multicultural honest believe constitution sad see canada digging dirt like us,other
positive,,canadian upcoming election guy n t wait hit advanced voting station work today # # markedmyx,other
negative,calling election early, atrupar would say canadians would disagree calling snap election wave covid taliban takeover occurring shows cares ,other
positive,,bought first bag milk since citizenship makes feel canadian voting federal election ,other
negative,climate problem,real headline cbc pushing soft climate change denial election ,other
positive,,statement ahead election day let federal leaders know need national standards ltc vote change # # # cdnpoli # ltc,other
positive,,university student watched brian mulroney & john turner go toe to toe election debates & canadian political giants ,other
negative,calling election early,canada election deadly pandemic ,other
positive,,drake running prime minister # canadaelection,other
positive,,dad s voting local election canada let s go dad,other
positive,,lets goooo # debateinquebec # canadianelections # quebecdebat # # # tva,other
negative,tell lies,canadian convicted felon advising us think vote election way vote ,other
negative,calling election early,time prime minister election canada damn long tenure seems like yesterday ,other
negative,others,y all m nervous canada s federal election ,other
negative,others,# point # canadianelection someone going address shame canadians locked china days seriously ps bad vancouver mansion go shopping everyday ,other
negative,covid , chrislewisessex canvassers going house house masks pandemic # covidisairborne # electionscanada # # maskup,other
negative,others,canadian election debate depressing ,other
negative,tell lies,bad feeling election canadians choosing right wing nut jobs party helped many pandemic feel sick ,other
negative,others,canada grossly sick take away parents love care let child even vote four year term election decide year future abhorrent disgusting ,other
negative,tell lies,elections rugged canada mean hell caught election means nothing ,other
negative,others, happystash fuck really pisses elections canada s response bs minority gov situation always election ready & like talk election since like january ,other
negative,others, davidakin take look alberta canadians premier ontario s destroying alberta s bad s hidden away election campaign ,other
negative,calling election early,let sink million dollars spent election homeless people vets need help natives without clean water every canadian mad right heartless assholes ,other
negative,others,blocked someone lying cindy blackstock work advocating indigenous children holding canadian government accountable failures low go election campaign seriously ,other
positive,,election canadian freedom without freedom get enslavement want freedom enslavement simple rest dialectic noise distract real issue freedom ,other
negative,calling election early, jojofromjerz atrupar canadians however easy look maybe terrible pm hidden agendas called election middle pandemic terrifying fire season wont getting vote,other
negative,others, glen mcgregor althiaraj stupid question ask pm two days election wth wrong canadian press ,other
negative,others,best short analysis thus far election pm trouble brings us politics deceitful ignores issues hurt canadians plus fuels anti americanism pathetic ,other
negative,tell lies, polysesouvient timnaumetz lol must sucks know lies aired huge platform canada see election damaged reputation worse anything educated canadian gun laws enemy,other
negative,others,worst election analysis ever seen life hate filled media addled mind sick mind display anti reality prof # # cdnpoli,other
negative,others, ezralevant canadians terrified re elected petty vindictive person turn anger received election back us swift brutal ,other
negative,others, nickkouvalis global affairs completey sidelined election quite tragic also dangerous chaotic global order mayhem canada canadian worries end ,other
negative,others, rohaniroop cbcalerts vanity election poor guy wasted million dollars lost power killing getting canadians sick leader ,other
negative,women reproductive right and racism,hey cbcnews get white asses cover story canadian racism hate crimes colored people wtf cbcnews important election fascist murder seems like happen ,other
negative,others,absolutely horrible canada forthcoming election doubt referendum freedom yes covid serious death rate per police state brutality totally unacceptable unjustifiable ,other
negative,others,canada election stolen thugs uneducated goons demanding death covid small business owners pissed government supporting divine right exploited labour force,other
